385542, Touch, 936.969, 989.989
387293, Touch, 1008.91846, 770.97656
387294, Fight, 1500
389405, Touch, 570.921, 684.9866
390429, Fight, 1510
392204, Touch, 394.9768, 472.0056
393509, Drop, 139
395122, Touch, 1274.9011, 898.98926
395878, Fight, 1520
396794, Touch, 1243.9398, 923.97217
397326, Fight, 1530
397495, Fight, 1540
398846, Touch, 1356.9452, 792.99316
399356, Fight, 1550
399616, Drop, 140
401080, Touch, 1494.95, 365.02075
401308, Drop, 141
401958, Fight, 1560
402914, Touch, 886.9702, 722.9883
403172, Drop, 142
403316, Drop, 143
404338, Touch, 1187.9114, 89.02222
405394, Fight, 1570
406488, Touch, 455.95093, 346.9922
407159, Fight, 1580
407623, Fight, 1590
408978, Touch, 1053.9038, 239.01855
409169, Fight, 1600
410856, Touch, 1779.9023, 177.0227
411763, Fight, 1610
412088, Fight, 1620
412166, Drop, 144
413730, Touch, 530.9491, 90.999756
414741, Fight, 1630
415104, Fight, 1640
416724, Touch, 1439.9377, 660.99243
417308, Fight, 1650
418729, Touch, 332.98645, 440.9912
420443, Fight, 1660
421453, Touch, 1133.9154, 937.97974
421812, Fight, 1670
422882, Touch, 871.92993, 890.9802
423044, Drop, 145
423233, Fight, 1680
424684, Touch, 533.93005, 755.9802
425747, Fight, 1690
426367, Touch, 585.9613, 856.9995
426923, Fight, 1700
427826, Touch, 846.93054, 946.97754
428247, Fight, 1710
430624, Touch, 1973.9355, 498.01025
431439, Drop, 146
432537, Fight, 1720
433822, Touch, 1153.9014, 302.00317
434188, Drop, 147
435530, Touch, 344.97803, 596.9861
436015, Drop, 148
436451, Fight, 1730
437110, Drop, 149
438534, Touch, 107.99194, 284.99634
440745, Drop, 150
442191, Touch, 633.9276, 442.01294
442726, Fight, 1740
444071, Touch, 2069.936, 399.00146
445176, Fight, 1750
445613, Drop, 151
445837, Fight, 1760
446021, Fight, 1770
448445, Touch, 1848.9386, 163.01514
448611, Fight, 1780
449385, Drop, 152
450262, Fight, 1790
